date,elapsed_days,rent_cash,rent_investments,rent_home_value,rent_mortgage_principal,rent_accrued_mortgage_interest,rent_equity,rent_net_worth,rent_net_worth_after_selling_costs,rent_cumulative_income,rent_cumulative_housing_cash_outflows,rent_cumulative_housing_expenses,buy_cash,buy_investments,buy_home_value,buy_mortgage_principal,buy_accrued_mortgage_interest,buy_equity,buy_net_worth,buy_net_worth_after_selling_costs,buy_cumulative_income,buy_cumulative_housing_cash_outflows,buy_cumulative_housing_expenses,net_worth_difference,net_worth_after_selling_costs_difference
2029-05-31,1216,15000.00,295522.27,0.00,0.00,0.00,0.00,310522.27,310522.27,256442.75,137872.56,137872.56,15000.00,104949.70,662092.32,460950.18,0.00,201142.14,321091.85,281366.31,256442.75,297768.66,158718.84,10569.58,-29155.96
2029-06-30,1246,15000.00,300001.43,0.00,0.00,0.00,0.00,315001.43,315001.43,263075.30,141469.10,141469.10,15000.00,108361.51,663702.83,460418.50,0.00,203284.32,326645.84,286823.67,263075.30,301517.67,161936.17,11644.41,-28177.76
2029-07-31,1277,15000.00,304551.03,0.00,0.00,0.00,0.00,319551.03,319551.03,269707.85,145065.64,145065.64,15000.00,111807.90,665371.13,459883.90,0.00,205487.22,332295.12,292372.85,269707.85,305266.68,165150.59,12744.09,-27178.18
2029-08-31,1308,15000.00,309123.20,0.00,0.00,0.00,0.00,324123.20,324123.20,276340.40,148662.19,148662.19,15000.00,115271.38,667043.62,459346.38,0.00,207697.25,337968.63,297946.01,276340.40,309015.69,168362.07,13845.42,-26177.19
2029-09-30,1338,15000.00,313667.65,0.00,0.00,0.00,0.00,328667.65,328667.65,282972.95,152258.73,152258.73,15000.00,118732.74,668666.17,458805.90,0.00,209860.27,343593.01,303473.04,282972.95,312764.70,171570.60,14925.35,-25194.62
2029-10-31,1369,15000.00,318285.06,0.00,0.00,0.00,0.00,333285.06,333285.06,289605.50,155855.27,155855.27,15000.00,122230.58,670346.95,458262.46,0.00,212084.48,349315.06,309094.25,289605.50,316513.71,174776.17,16030.01,-24190.81
2029-11-30,1399,15000.00,322873.49,0.00,0.00,0.00,0.00,337873.49,337873.49,296238.05,159451.82,159451.82,15000.00,125725.35,671977.53,457716.05,0.00,214261.48,354986.83,314668.18,296238.05,320262.72,177978.77,17113.34,-23205.31
2029-12-31,1430,15000.00,327536.57,0.00,0.00,0.00,0.00,342536.57,342536.57,302870.60,163048.36,163048.36,15000.00,129257.88,673666.63,457166.63,0.00,216500.00,360757.88,320337.88,302870.60,324011.73,181178.36,18221.31,-22198.69
2030-01-31,1461,15000.00,331950.71,0.00,0.00,0.00,0.00,346950.71,346950.71,309635.80,167049.62,167049.62,11533.05,129899.14,675359.98,456614.20,0.00,218745.77,360177.97,319656.37,309635.80,334269.13,190883.33,13227.26,-27294.34
2030-02-28,1489,15000.00,336524.58,0.00,0.00,0.00,0.00,351524.58,351524.58,316401.00,170750.87,170750.87,14552.98,130481.08,676893.11,456058.75,0.00,220834.36,365868.43,325254.84,316401.00,338031.93,194090.68,14343.84,-26269.74
